Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate13_Gal.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-01 16:46:50 PM EDT,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
F10,Pdam_419_14,C,UNKNOWN,VIC,NFQ-MGB,29.4584236145,29.3479614258,0.156215772,,,,0,0.01,1,3,29,,N,N,N,N,N,N
F10,Pdam_419_14,D,UNKNOWN,FAM,NFQ-MGB,23.9802513123,23.9003448486,0.1130061522,,,,0,0.01,1,3,23,,N,N,N,N,N,N
F11,Pdam_420_14,C,UNKNOWN,VIC,NFQ-MGB,24.5054397583,24.5577545166,0.073984243,,,,0,0.01,1,3,23,,N,N,N,N,N,N
F11,Pdam_420_14,D,UNKNOWN,FAM,NFQ-MGB,36.8977813721,36.8977813721,,,,,0,0.01,1,3,35,,N,N,N,N,N,N
F12,Pdam_337_14,C,UNKNOWN,VIC,NFQ-MGB,27.7293395996,27.8068752289,0.1096519381,,,,0,0.01,1,3,27,,N,N,N,N,N,Y
F12,Pdam_337_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
G1,Pdam_337_14,Pdam,UNKNOWN,FAM,NFQ-MGB,30.288974762,30.2280540466,0.0861535519,,,,0,0.01,1,3,29,,N,N,N,N,N,N
G3,Pdam_392_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.1747455597,27.4579105377,0.4004557431,,,,0,0.01,1,3,26,,N,N,N,N,N,N
G4,Pdam_401_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.2450180054,23.978427887,0.3770167232,,,,0,0.01,1,3,23,,N,N,N,N,N,N
G5,Pdam_407_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9254989624,21.0793685913,0.217605859,,,,0,0.01,1,3,20,,N,N,N,N,N,N
G6,Pdam_408_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.0585918427,21.7879486084,0.3827473223,,,,0,0.01,1,3,21,,N,N,N,N,N,N
G8,Pdam_413_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.9457035065,25.3785476685,0.6121354103,,,,0,0.01,1,3,24,,Y,N,N,N,N,N
G9,Pdam_415_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.4151153564,21.6828536987,0.3786378503,,,,0,0.01,1,3,20,,N,N,N,N,N,N
G10,Pdam_419_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.1071834564,22.3035316467,0.2776796222,,,,0,0.01,1,3,21,,N,N,N,N,N,N
G11,Pdam_420_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.5179462433,23.8277053833,0.4380655885,,,,0,0.01,1,3,22,,N,N,N,N,N,N
G12,Pdam_337_14,C,UNKNOWN,VIC,NFQ-MGB,27.8844108582,27.8068752289,0.1096519381,,,,0,0.01,1,3,27,,N,N,N,N,N,Y
G12,Pdam_337_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
H1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,Y,Y,Y
