Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Gal1_Dprobes.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-27 21:36:03 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
F3,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F4,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.5898342133,23.6685009003,0.3777212799,,,,0,0.01,1,3,23,,N,N,N,Y
F4,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F5,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,24.0768795013,24.2448406219,0.3590456247,,,,0,0.01,1,3,23,,N,Y,N,Y
F5,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F6,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.446390152,22.7076091766,0.3992472887,,,,0,0.01,1,3,22,,N,Y,N,Y
F6,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F7,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.4076461792,23.6685009003,0.3777212799,,,,0,0.01,1,3,23,,N,Y,N,Y
F7,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F8,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,23.9081802368,24.2448406219,0.3590456247,,,,0,0.01,1,3,23,,N,Y,N,Y
F8,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F9,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.7829685211,22.7076091766,0.3992472887,,,,0,0.01,1,3,22,,N,Y,N,Y
F9,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F10,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.2654685974,23.6685009003,0.3777212799,,,,0,0.01,1,3,22,,N,Y,N,Y
F10,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F11,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,23.9390735626,24.2448406219,0.3590456247,,,,0,0.01,1,3,23,,N,Y,N,Y
F11,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
F12,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.5666675568,22.7076091766,0.3992472887,,,,0,0.01,1,3,22,,N,N,N,Y
F12,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
G1,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3696517944,21.2876052856,1.2717900276,,,,0,0.01,1,3,20,,Y,N,N,N
G2,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.758934021,24.784526825,0.5438609719,,,,0,0.01,1,3,24,,Y,N,N,N
G3,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9085559845,21.2734851837,0.3701952398,,,,0,0.01,1,3,20,,N,N,N,N
G4,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.260345459,21.2876052856,1.2717900276,,,,0,0.01,1,3,23,,Y,N,Y,N
G5,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.6317424774,24.784526825,0.5438609719,,,,0,0.01,1,3,24,,Y,N,N,N
G6,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.8997840881,21.2734851837,0.3701952398,,,,0,0.01,1,3,21,,N,N,N,N
G7,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.456653595,21.2876052856,1.2717900276,,,,0,0.01,1,3,19,,Y,N,N,N
G8,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.586391449,24.784526825,0.5438609719,,,,0,0.01,1,3,23,,Y,N,N,N
G9,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.1352500916,21.2734851837,0.3701952398,,,,0,0.01,1,3,20,,N,N,N,N
G10,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.8613491058,21.2876052856,1.2717900276,,,,0,0.01,1,3,20,,Y,N,N,N
G11,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.319726944,24.784526825,0.5438609719,,,,0,0.01,1,3,23,,Y,N,N,N
G12,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.6970825195,21.2734851837,0.3701952398,,,,0,0.01,1,3,21,,N,N,N,N
H1,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,24.5214557648,23.6685009003,0.3777212799,,,,0,0.01,1,3,24,,N,N,N,Y
H1,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H2,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,24.654504776,24.2448406219,0.3590456247,,,,0,0.01,1,3,24,,N,N,N,Y
H2,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H3,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.6357460022,22.7076091766,0.3992472887,,,,0,0.01,1,3,22,,N,N,N,Y
H3,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H4,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.708656311,23.6685009003,0.3777212799,,,,0,0.01,1,3,23,,N,N,N,Y
H4,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H5,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,24.8388252258,24.2448406219,0.3590456247,,,,0,0.01,1,3,24,,N,N,N,Y
H5,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H6,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.9239406586,22.7076091766,0.3992472887,,,,0,0.01,1,3,22,,N,N,N,Y
H6,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H7,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.5686473846,23.6685009003,0.3777212799,,,,0,0.01,1,3,23,,N,N,N,Y
H7,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H8,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,24.2139186859,24.2448406219,0.3590456247,,,,0,0.01,1,3,23,,N,N,N,Y
H8,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H9,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.6373405457,22.7076091766,0.3992472887,,,,0,0.01,1,3,22,,N,N,N,Y
H9,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H10,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.7471885681,23.6685009003,0.3777212799,,,,0,0.01,1,3,23,,N,N,N,Y
H10,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H11,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,24.4211425781,24.2448406219,0.3590456247,,,,0,0.01,1,3,24,,N,N,N,Y
H11,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H12,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,23.5169906616,22.7076091766,0.3992472887,,,,0,0.01,1,3,23,,N,N,N,Y
H12,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
