Colony,Year.2,C.SH,D.SH,tot.SH,logTot.SH,D.Prp,,logC.SH,logD.SH,Year,Sample,Reef,Spp,Depht,Community,DominantCommunity,D14.D.Prp,D14Community,D14Dominant,D16.D.Prp,D16Community,D16Dominant,ITS2_14,ORF,ORFCommunity,ORFCommunity2,DominantITS2
268-1,2016,0.04693219849801,0.074341418431784,0.121273616929794,-0.916233669603846,0.613005699952209,61.3,-1.3285291011638,-1.12876915683701,16,16_268-1,Coral Collection Point,P.ele,20,Mixed,Durusdinium-dominated,9.59E-05,Mixed,Cladocopium-dominated,0.613005699952209,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
269-1,2014,0.005956963103704,0.006031298149,0.011988261252704,-1.92124380131436,0.503100326382995,50.3,-2.22497508983021,-2.21958920224286,14,14_269-1,Coral Collection Point,P.dam,20,Mixed,Durusdinium-dominated,0.503100326382995,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
269-1,2015,0.00452960084465,0.028293401186149,0.032823002030799,-1.48382170037657,0.861999190677323,86.2,-2.34394006699459,-1.54831484230654,15,15_269-1,Coral Collection Point,P.dam,20,Mixed,Durusdinium-dominated,0.503100326382995,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
269-1,2016,0,0.013617919576958,0.013617919576958,-1.86588923495328,1,100.0,NA,-1.86588923495328,16,16_269-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,0.503100326382995,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
270-1A,2014,0.019767756568216,1.88E-06,0.019769634808211,-1.70400135305576,9.50E-05,0.0,-1.7040426157308,-5.72624891583759,14,14_270-1A,Coral Collection Point,P.ele,20,Mixed,Cladocopium-dominated,9.50E-05,Mixed,Cladocopium-dominated,0.819318496574733,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
270-1A,2015,0.059375027019172,0,0.059375027019172,-1.22639617973719,0,0.0,-1.22639617973719,NA,15,15_270-1A,Coral Collection Point,P.ele,20,Cladocopium-only,Cladocopium-dominated,9.50E-05,Mixed,Cladocopium-dominated,0.819318496574733,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
270-1A,2016,0.003179550744643,0.014417993466397,0.017597544211041,-1.75454793502729,0.819318496574733,81.9,-2.49763423941987,-1.84109517561564,16,16_270-1A,Coral Collection Point,P.ele,20,Mixed,Durusdinium-dominated,9.50E-05,Mixed,Cladocopium-dominated,0.819318496574733,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
271-1,2014,0.011664254937015,3.01E-05,0.011694367805636,-1.93202325106261,0.002574989013636,0.3,-1.93314299686828,-4.52124787062811,14,14_271-1,Coral Collection Point,P.ele,20,Mixed,Cladocopium-dominated,0.002574989013636,Mixed,Cladocopium-dominated,0.835399166490791,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
271-1,2016,0.002920711082245,0.014823494824718,0.017744205906963,-1.75094343153424,0.835399166490791,83.5,-2.53451140146276,-1.82904939391688,16,16_271-1,Coral Collection Point,P.ele,20,Mixed,Durusdinium-dominated,0.002574989013636,Mixed,Cladocopium-dominated,0.835399166490791,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
272-1,2014,8.66E-06,0.028226019916124,0.028234675871975,-1.54921719350601,0.999693428184173,100.0,-5.06268496729811,-1.54935035636697,14,14_272-1,Coral Collection Point,P.dam,20,Mixed,Durusdinium-dominated,0.999693428184173,Mixed,Durusdinium-dominated,0.982528770933755,Mixed,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
272-1,2015,0.000873719004593,0.050359540607451,0.051233259612045,-1.29044801214064,0.982946253835701,98.3,-3.05862821768152,-1.29791824029092,15,15_272-1,Coral Collection Point,P.dam,20,Mixed,Durusdinium-dominated,0.999693428184173,Mixed,Durusdinium-dominated,0.982528770933755,Mixed,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
272-1,2016,0.000353331358629,0.019870280688878,0.020223612047507,-1.69414127445206,0.982528770933755,98.3,-3.4518178166407,-1.70179599797474,16,16_272-1,Coral Collection Point,P.dam,20,Mixed,Durusdinium-dominated,0.999693428184173,Mixed,Durusdinium-dominated,0.982528770933755,Mixed,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
273-1,2014,0,0.026780994911306,0.026780994911306,-1.57217329302736,1,100.0,NA,-1.57217329302736,14,14_273-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
273-1,2015,0,0.060035293629776,0.060035293629776,-1.22159336091132,1,100.0,NA,-1.22159336091132,15,15_273-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
273-1,2016,0,0.015980754867681,0.015980754867681,-1.79640271018314,1,100.0,NA,-1.79640271018314,16,16_273-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
274-1,2014,0.007997127263535,0.056189122267643,0.064186249531178,-1.19255799984929,0.875407469326424,87.5,-2.0970659927146,-1.25034775198228,14,14_274-1,Coral Collection Point,P.ele,20,Mixed,Durusdinium-dominated,0.875407469326424,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
274-1,2015,0,0.043918732518181,0.043918732518181,-1.35735020198927,1,100.0,NA,-1.35735020198927,15,15_274-1,Coral Collection Point,P.ele,20,Durusdinium-only,Durusdinium-dominated,0.875407469326424,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
275-1,2014,0,0.031957939347572,0.031957939347572,-1.49542123182459,1,100.0,NA,-1.49542123182459,14,14_275-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
